,DAYS,STATION_LINE,TOTAL_TRAFFIC
955,Monday,WORLD TRADE CTR ACE23,40235.0
689,Monday,BERGEN ST 23,39860.0
740,Monday,CORTLANDT ST RNW,39263.0
845,Monday,METROPOLITAN AV M,37911.0
881,Monday,PARK PLACE S,37342.0
826,Monday,KINGS HWY N,36839.0
796,Monday,GUN HILL RD 5,36747.0
852,Monday,MOSHOLU PKWY 4,36607.0
643,Monday,90 ST-ELMHURST 7,35861.0
880,Monday,PARK PLACE 23ACE,35623.0
866,Monday,NEWARK BM BW 1,35553.0
790,Monday,GRAND-NEWTOWN MR,35424.0
794,Monday,GROVE STREET 1,35286.0
661,Monday,AVENUE J BQ,35280.0
742,Monday,COURT SQ EMG,35133.0
708,Monday,BROOKLYN BRIDGE 456JZ,34902.0
926,Monday,THIRTY ST 1,34748.0
598,Monday,55 ST D,34479.0
891,Monday,PENNSYLVANIA AV 3,34383.0
903,Monday,RIT-ROOSEVELT R,34346.0
695,Monday,BOROUGH HALL R2345,34112.0
818,Monday,JFK JAMAICA CT1 E,33872.0
690,Monday,BERGEN ST FG,33858.0
938,Monday,VAN SICLEN AV JZ,33831.0
706,Monday,BRONX PARK EAST 25,33787.0
839,Monday,LONGWOOD AV 6,33357.0
778,Monday,FRESH POND RD M,33341.0
545,Monday,21 ST G,33100.0
597,Monday,53 ST R,32964.0
485,Monday,104 ST JZ,32879.0
807,Monday,HUNTERS PT AV 7,32342.0
621,Monday,74 ST-BROADWAY 7EFMR,31845.0
775,Monday,FRANKLIN AV ACS,31613.0
736,Monday,CLINTON-WASH AV C,31316.0
676,Monday,BAYCHESTER AV 5,31252.0
713,Monday,CANAL ST 1,31214.0
660,Monday,AVENUE I F,31200.0
869,Monday,NEWARK HW BMEBE 1,31133.0
717,Monday,CARROLL ST FG,30959.0
526,Monday,170 ST BD,30913.0
890,Monday,PELHAM PKWY 5,30865.0
667,Monday,AVENUE U N,30760.0
837,Monday,LIBERTY AV C,30699.0
733,Monday,CLARK ST 23,30248.0
