,DAYS,STATION_LINE,TOTAL_TRAFFIC
2761,Tuesday,METROPOLITAN AV M,38747.0
2768,Tuesday,MOSHOLU PKWY 4,38571.0
2710,Tuesday,GROVE STREET 1,38136.0
2842,Tuesday,THIRTY ST 1,37052.0
2559,Tuesday,90 ST-ELMHURST 7,37048.0
2611,Tuesday,BOROUGH HALL R2345,36835.0
2723,Tuesday,HUNTERS PT AV 7,36557.0
2706,Tuesday,GRAND-NEWTOWN MR,36179.0
2606,Tuesday,BERGEN ST FG,36034.0
2755,Tuesday,LONGWOOD AV 6,36032.0
2694,Tuesday,FRESH POND RD M,35611.0
2629,Tuesday,CANAL ST 1,35403.0
2577,Tuesday,AVENUE J BQ,35397.0
2622,Tuesday,BRONX PARK EAST 25,35271.0
2806,Tuesday,PELHAM PKWY 5,35152.0
2854,Tuesday,VAN SICLEN AV JZ,35009.0
2401,Tuesday,104 ST JZ,34913.0
2513,Tuesday,53 ST R,34521.0
2514,Tuesday,55 ST D,34307.0
2753,Tuesday,LIBERTY AV C,34021.0
2652,Tuesday,CLINTON-WASH AV C,33947.0
2691,Tuesday,FRANKLIN AV ACS,33943.0
2807,Tuesday,PENNSYLVANIA AV 3,33921.0
2461,Tuesday,21 ST G,33755.0
2592,Tuesday,BAYCHESTER AV 5,33744.0
2576,Tuesday,AVENUE I F,33709.0
2819,Tuesday,RIT-ROOSEVELT R,33530.0
2649,Tuesday,CLARK ST 23,32821.0
2633,Tuesday,CARROLL ST FG,32753.0
2583,Tuesday,AVENUE U N,32316.0
2444,Tuesday,174-175 STS BD,31536.0
2775,Tuesday,NECK RD BQ,31367.0
2647,Tuesday,CITY / BUS 1,31314.0
2442,Tuesday,170 ST BD,31301.0
2435,Tuesday,163 ST-AMSTERDM C,31208.0
2537,Tuesday,74 ST-BROADWAY 7EFMR,30847.0
2675,Tuesday,EASTCHSTER/DYRE 5,30622.0
2473,Tuesday,238 ST 1,29429.0
2408,Tuesday,116 ST BC,29423.0
2648,Tuesday,CITY HALL NRW,29049.0
2699,Tuesday,FULTON ST ACJZ2345,29044.0
2400,Tuesday,104 ST A,28834.0
2428,Tuesday,14TH STREET 1,28671.0
2431,Tuesday,155 ST C,28370.0
2578,Tuesday,AVENUE M BQ,28333.0
2425,Tuesday,145 ST 3,28057.0
2754,Tuesday,LIVONIA AV L,28024.0
2440,Tuesday,169 ST F,27909.0
2795,Tuesday,OZONE PK LEFFRT A,26408.0
2636,Tuesday,CATHEDRAL PKWY BC,25732.0
2582,Tuesday,AVENUE U F,25663.0
2865,Tuesday,WHITLOCK AV 6,25250.0
2683,Tuesday,FLUSHING AV G,25059.0
2818,Tuesday,RIT-MANHATTAN R,24955.0
2645,Tuesday,CHURCH AV BQ,24885.0
2564,Tuesday,9TH STREET 1,24028.0
2463,Tuesday,215 ST 1,23992.0
2804,Tuesday,PELHAM BAY PARK 6,23629.0
2858,Tuesday,W 8 ST-AQUARIUM FQ,23335.0
2774,Tuesday,NASSAU ST G,23260.0
2475,Tuesday,25 ST R,23139.0
2716,Tuesday,HARRISON 1,22999.0
2595,Tuesday,BEACH 36 ST A,22833.0
2762,Tuesday,METS-WILLETS PT 7,22632.0
2575,Tuesday,AVENUE H BQ,21749.0
2680,Tuesday,EXCHANGE PLACE 1,21560.0
2663,Tuesday,CYPRESS HILLS J,21558.0
2574,Tuesday,ATLANTIC AV L,21310.0
2782,Tuesday,NEWARK BM BW 1,21095.0
2816,Tuesday,RECTOR ST 1,20939.0
2830,Tuesday,SMITH-9 ST FG,20935.0
2749,Tuesday,LACKAWANNA 1,20897.0
2567,Tuesday,AQUEDUCT N.COND A,20832.0
2565,Tuesday,ALABAMA AV J,18878.0
2558,Tuesday,9 AV D,18486.0
2670,Tuesday,E 143/ST MARY'S 6,17216.0
2835,Tuesday,ST. GEORGE 1,16324.0
2492,Tuesday,36 ST MR,16123.0
2599,Tuesday,BEACH 90 ST AS,14801.0
2849,Tuesday,TWENTY THIRD ST 1,14621.0
2511,Tuesday,51 ST 6,14613.0
2823,Tuesday,ROCKAWAY PARK B AS,13379.0
2596,Tuesday,BEACH 44 ST A,12976.0
2776,Tuesday,NEPTUNE AV F,12474.0
2554,Tuesday,86 ST N,11144.0
2588,Tuesday,BAY PKWY F,10475.0
2720,Tuesday,HOWARD BCH JFK A,10450.0
2783,Tuesday,NEWARK C 1,9450.0
2736,Tuesday,JOURNAL SQUARE 1,9439.0
2829,Tuesday,SIMPSON ST 25,8874.0
2750,Tuesday,LAFAYETTE AV C,8820.0
2653,Tuesday,CLINTON-WASH AV G,8519.0
2678,Tuesday,ELMHURST AV MR,8141.0
2600,Tuesday,BEACH 98 ST AS,7867.0
2486,Tuesday,34 ST-HUDSON YD 7,5334.0
2593,Tuesday,BEACH 105 ST AS,5246.0
2410,Tuesday,121 ST JZ,4707.0
2847,Tuesday,TOMPKINSVILLE 1,4329.0
2617,Tuesday,BROAD CHANNEL AS,4245.0
2841,Tuesday,SUTTER AV-RUTLD 3,3555.0
2538,Tuesday,75 AV EF,2069.0
2532,Tuesday,7 AV FG,1555.0
2459,Tuesday,20 AV N,1313.0
2738,Tuesday,JUNIUS ST 3,1233.0
2439,Tuesday,168 ST AC1,26.0
2568,Tuesday,AQUEDUCT RACETR A,26.0
2427,Tuesday,149/GRAND CONC 245,21.0
2794,Tuesday,ORCHARD BEACH 6,19.0
2404,Tuesday,111 ST A,17.0
2843,Tuesday,THIRTY THIRD ST 1,15.0
2437,Tuesday,167 ST BD,13.0
2468,Tuesday,23 ST CE,12.0
2805,Tuesday,PELHAM PKWY 25,9.0
2416,Tuesday,135 ST BC,8.0
2740,Tuesday,KINGS HWY BQ,8.0
2800,Tuesday,PARSONS BLVD F,7.0
2547,Tuesday,80 ST A,6.0
2726,Tuesday,INWOOD-207 ST A,6.0
2429,Tuesday,15 ST-PROSPECT FG,6.0
2838,Tuesday,SUTPHIN BLVD F,5.0
2646,Tuesday,CHURCH AV FG,4.0
2579,Tuesday,AVENUE N F,1.0
2667,Tuesday,DITMAS AV F,1.0
