,DAYS,STATION_LINE,TOTAL_TRAFFIC
2220,Thursday,FULTON ST ACJZ2345,30314.0
1994,Thursday,238 ST 1,30244.0
2058,Thursday,74 ST-BROADWAY 7EFMR,29974.0
2099,Thursday,AVENUE M BQ,29965.0
1961,Thursday,169 ST F,29711.0
2169,Thursday,CITY HALL NRW,29706.0
1921,Thursday,104 ST A,29682.0
2303,Thursday,NEWARK BM BW 1,29035.0
1949,Thursday,14TH STREET 1,28345.0
2316,Thursday,OZONE PK LEFFRT A,28196.0
1946,Thursday,145 ST 3,27850.0
2157,Thursday,CATHEDRAL PKWY BC,27493.0
2166,Thursday,CHURCH AV BQ,26735.0
2339,Thursday,RIT-MANHATTAN R,26655.0
2275,Thursday,LIVONIA AV L,26655.0
2204,Thursday,FLUSHING AV G,26369.0
2085,Thursday,9TH STREET 1,26108.0
2103,Thursday,AVENUE U F,26031.0
2386,Thursday,WHITLOCK AV 6,25615.0
2283,Thursday,METS-WILLETS PT 7,25021.0
2237,Thursday,HARRISON 1,24890.0
2379,Thursday,W 8 ST-AQUARIUM FQ,24780.0
2325,Thursday,PELHAM BAY PARK 6,24652.0
1984,Thursday,215 ST 1,24523.0
1996,Thursday,25 ST R,23589.0
2201,Thursday,EXCHANGE PLACE 1,23317.0
2116,Thursday,BEACH 36 ST A,22883.0
2295,Thursday,NASSAU ST G,22723.0
2351,Thursday,SMITH-9 ST FG,22406.0
2337,Thursday,RECTOR ST 1,22271.0
2184,Thursday,CYPRESS HILLS J,22023.0
2095,Thursday,ATLANTIC AV L,21747.0
2096,Thursday,AVENUE H BQ,21318.0
2088,Thursday,AQUEDUCT N.COND A,20791.0
2270,Thursday,LACKAWANNA 1,19967.0
2086,Thursday,ALABAMA AV J,19163.0
2079,Thursday,9 AV D,18977.0
2191,Thursday,E 143/ST MARY'S 6,17351.0
2013,Thursday,36 ST MR,16111.0
2370,Thursday,TWENTY THIRD ST 1,16046.0
2356,Thursday,ST. GEORGE 1,16030.0
2120,Thursday,BEACH 90 ST AS,15444.0
2032,Thursday,51 ST 6,14682.0
2344,Thursday,ROCKAWAY PARK B AS,14063.0
2117,Thursday,BEACH 44 ST A,13512.0
2297,Thursday,NEPTUNE AV F,12842.0
2075,Thursday,86 ST N,11330.0
2257,Thursday,JOURNAL SQUARE 1,10412.0
2109,Thursday,BAY PKWY F,10077.0
2241,Thursday,HOWARD BCH JFK A,9944.0
2304,Thursday,NEWARK C 1,9732.0
2350,Thursday,SIMPSON ST 25,9430.0
2271,Thursday,LAFAYETTE AV C,9350.0
2174,Thursday,CLINTON-WASH AV G,8986.0
2121,Thursday,BEACH 98 ST AS,8379.0
2199,Thursday,ELMHURST AV MR,7224.0
2114,Thursday,BEACH 105 ST AS,5615.0
2007,Thursday,34 ST-HUDSON YD 7,5433.0
1931,Thursday,121 ST JZ,4826.0
2368,Thursday,TOMPKINSVILLE 1,4631.0
2362,Thursday,SUTTER AV-RUTLD 3,4126.0
2138,Thursday,BROAD CHANNEL AS,4101.0
2059,Thursday,75 AV EF,1928.0
2053,Thursday,7 AV FG,1578.0
2259,Thursday,JUNIUS ST 3,1300.0
1980,Thursday,20 AV N,1286.0
2315,Thursday,ORCHARD BEACH 6,78.0
2089,Thursday,AQUEDUCT RACETR A,27.0
1948,Thursday,149/GRAND CONC 245,25.0
2321,Thursday,PARSONS BLVD F,21.0
1989,Thursday,23 ST CE,19.0
2247,Thursday,INWOOD-207 ST A,16.0
2359,Thursday,SUTPHIN BLVD F,15.0
1960,Thursday,168 ST AC1,13.0
1950,Thursday,15 ST-PROSPECT FG,11.0
2326,Thursday,PELHAM PKWY 25,10.0
2364,Thursday,THIRTY THIRD ST 1,8.0
2100,Thursday,AVENUE N F,5.0
2068,Thursday,80 ST A,5.0
2261,Thursday,KINGS HWY BQ,4.0
1937,Thursday,135 ST BC,4.0
2167,Thursday,CHURCH AV FG,4.0
1925,Thursday,111 ST A,3.0
2188,Thursday,DITMAS AV F,1.0
