,DAYS,STATION_LINE,TOTAL_TRAFFIC
423,Friday,RIT-MANHATTAN R,33005.0
358,Friday,LIBERTY AV C,32982.0
411,Friday,PELHAM PKWY 5,32556.0
40,Friday,163 ST-AMSTERDM C,32147.0
188,Friday,AVENUE U N,31981.0
197,Friday,BAYCHESTER AV 5,31966.0
49,Friday,174-175 STS BD,31828.0
328,Friday,HUNTERS PT AV 7,31792.0
78,Friday,238 ST 1,31133.0
119,Friday,55 ST D,30767.0
13,Friday,116 ST BC,30285.0
380,Friday,NECK RD BQ,29417.0
280,Friday,EASTCHSTER/DYRE 5,29328.0
36,Friday,155 ST C,29029.0
45,Friday,169 ST F,28977.0
183,Friday,AVENUE M BQ,28371.0
252,Friday,CITY / BUS 1,28169.0
304,Friday,FULTON ST ACJZ2345,27723.0
5,Friday,104 ST A,27600.0
30,Friday,145 ST 3,27283.0
253,Friday,CITY HALL NRW,27153.0
241,Friday,CATHEDRAL PKWY BC,27069.0
359,Friday,LIVONIA AV L,26425.0
250,Friday,CHURCH AV BQ,25717.0
470,Friday,WHITLOCK AV 6,24580.0
288,Friday,FLUSHING AV G,24388.0
187,Friday,AVENUE U F,24364.0
169,Friday,9TH STREET 1,24300.0
400,Friday,OZONE PK LEFFRT A,24252.0
80,Friday,25 ST R,23746.0
367,Friday,METS-WILLETS PT 7,23643.0
68,Friday,215 ST 1,23309.0
409,Friday,PELHAM BAY PARK 6,22998.0
463,Friday,W 8 ST-AQUARIUM FQ,22954.0
200,Friday,BEACH 36 ST A,22093.0
179,Friday,ATLANTIC AV L,22028.0
435,Friday,SMITH-9 ST FG,21389.0
268,Friday,CYPRESS HILLS J,21310.0
379,Friday,NASSAU ST G,21012.0
172,Friday,AQUEDUCT N.COND A,20132.0
321,Friday,HARRISON 1,19807.0
421,Friday,RECTOR ST 1,19738.0
285,Friday,EXCHANGE PLACE 1,19529.0
170,Friday,ALABAMA AV J,19122.0
163,Friday,9 AV D,17990.0
180,Friday,AVENUE H BQ,17476.0
354,Friday,LACKAWANNA 1,17196.0
275,Friday,E 143/ST MARY'S 6,16857.0
116,Friday,51 ST 6,14919.0
97,Friday,36 ST MR,14846.0
204,Friday,BEACH 90 ST AS,14414.0
454,Friday,TWENTY THIRD ST 1,13841.0
428,Friday,ROCKAWAY PARK B AS,13317.0
201,Friday,BEACH 44 ST A,12844.0
181,Friday,AVENUE I F,12448.0
381,Friday,NEPTUNE AV F,12293.0
159,Friday,86 ST N,11088.0
325,Friday,HOWARD BCH JFK A,10397.0
355,Friday,LAFAYETTE AV C,9835.0
193,Friday,BAY PKWY F,9481.0
258,Friday,CLINTON-WASH AV G,8864.0
434,Friday,SIMPSON ST 25,8815.0
205,Friday,BEACH 98 ST AS,7617.0
283,Friday,ELMHURST AV MR,7469.0
388,Friday,NEWARK C 1,7396.0
91,Friday,34 ST-HUDSON YD 7,5564.0
198,Friday,BEACH 105 ST AS,5092.0
15,Friday,121 ST JZ,4817.0
446,Friday,SUTTER AV-RUTLD 3,2013.0
143,Friday,75 AV EF,1996.0
137,Friday,7 AV FG,1594.0
64,Friday,20 AV N,1113.0
343,Friday,JUNIUS ST 3,631.0
32,Friday,149/GRAND CONC 245,289.0
173,Friday,AQUEDUCT RACETR A,190.0
448,Friday,THIRTY THIRD ST 1,149.0
331,Friday,INWOOD-207 ST A,115.0
73,Friday,23 ST CE,94.0
44,Friday,168 ST AC1,93.0
410,Friday,PELHAM PKWY 25,82.0
42,Friday,167 ST BD,81.0
405,Friday,PARSONS BLVD F,80.0
443,Friday,SUTPHIN BLVD F,72.0
272,Friday,DITMAS AV F,44.0
152,Friday,80 ST A,41.0
34,Friday,15 ST-PROSPECT FG,40.0
251,Friday,CHURCH AV FG,38.0
345,Friday,KINGS HWY BQ,37.0
21,Friday,135 ST BC,35.0
9,Friday,111 ST A,35.0
399,Friday,ORCHARD BEACH 6,29.0
184,Friday,AVENUE N F,12.0
